position_bin,total,error_count,fp_count,fn_count,error_rate,fp_rate,fn_rate
0-10%,169,10,3,7,0.05917159763313609,0.01775147928994083,0.04142011834319527
10-20%,182,8,5,3,0.04395604395604396,0.027472527472527472,0.016483516483516484
20-30%,183,2,1,1,0.01092896174863388,0.00546448087431694,0.00546448087431694
30-40%,193,10,5,5,0.05181347150259067,0.025906735751295335,0.025906735751295335
40-50%,215,14,4,10,0.06511627906976744,0.018604651162790697,0.046511627906976744
50-60%,180,2,2,0,0.011111111111111112,0.011111111111111112,0.0
60-70%,186,4,4,0,0.021505376344086023,0.021505376344086023,0.0
70-80%,187,2,2,0,0.0106951871657754,0.0106951871657754,0.0
80-90%,177,3,3,0,0.01694915254237288,0.01694915254237288,0.0
90-100%,309,22,9,13,0.07119741100323625,0.02912621359223301,0.042071197411003236
